GameID,TeamID,Date,Opponent,TeamScore,OpponentScore
1,1,2018-07-13,Fagundes,41,19
2,1,2018-07-20,Dorn,34,21
3,1,2018-08-10,Ressa,52,54
4,1,2018-08-17,Dorn,25,24
5,3,2018-04-07,YBA Dawgs,27,45
6,3,2018-04-07,CV Hornets,30,40
7,3,2018-04-08,Nor Cal Thunder,38,29
8,3,2018-04-14,Sierra Nevada Basketball Red,42,26
9,3,2018-04-15,NCA Elite Red,28,50
10,3,2018-04-15,Cal Reign,46,40
11,3,2018-04-21,OJBA,34,26
12,3,2018-04-22,HUI Hawaii Heat Mel,20,54
13,3,2018-04-22,Lakeport Basketball,41,37
14,3,2018-05-05,YBA Dawgs,18,44
15,3,2018-05-06,Sierra Nevada Basketball Red,34,30
16,3,2018-05-06,CRR,31,48
17,3,2018-05-19,San Jose Top Flight Elite Red,45,34
18,3,2018-05-19,Express Basketball Red,40,27
19,3,2018-05-20,CRR,27,46
20,3,2018-05-20,Manteca Top Gun,41,33
21,3,2018-05-26,SSBA Purple,37,39
22,3,2018-05-26,Midtown Heat,30,34
23,3,2018-05-27,Sierra Nevada Basketball Red,43,35
24,3,2018-05-28,Up And Over The Rim,34,46
25,2,2018-04-06,Ho,59,9
26,2,2018-04-13,Smith,35,22
27,2,2018-04-20,Brown,23,43
28,2,2018-04-27,Niclai,33,22
29,2,2018-05-04,Brown,20,28
30,2,2018-05-11,Herzog/Gladiators,5,36
31,2,2018-05-18,Niclai,28,19
32,2,2018-05-31,Zane,24,23
33,2,2018-06-01,Herzog,34,25
34,2,2018-06-01,Brown,37,29
35,1,2018-08-24,Fagundes,37,28
36,1,2018-08-27,Odonoghue,31,24
37,1,2018-08-30,Cougler,35,15
38,1,2018-08-30,Karr,38,43
